source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,system_median
59.9898,59.9891,59.9913,59.9883,59.9894,59.9896,59.9909,59.991,59.9899,59.9877,59.9894,59.9891,59.9885,59.9889,59.9898,59.9887,59.9914,59.9896,59.9937,59.989,59.99,59.9896,59.9891,59.9896,59.9878,59.9897,59.99,59.9897,59.9905,59.9898,59.9896,59.9906,59.9895,59.9883,59.9884,59.9901,59.9887,59.989,59.9906,59.9887,59.9913,59.9899,59.9901,59.9902,59.9895,59.9901,59.989,59.9895,59.9914,59.9892,59.9901,59.9909,59.9901,59.9909,59.9887,59.9889,59.9898,59.9902,59.9888,59.9901,59.988,59.9886,59.9896,59.9895,59.9911,59.9865,59.9911,59.989,59.9877,59.9941,59.988,59.9883,59.9902,59.9903,59.992,59.991,59.9897,59.9919,59.9894,59.9901,59.9898,59.9915,59.9901,59.9906,59.9893,59.9888,59.9911,59.9891,59.9901,59.9903,59.9894,59.9894,59.9899,59.9895,59.9895,59.9887,59.9905,59.9897
59.9889,59.9895,59.9909,59.9886,59.9899,59.9896,59.9898,59.9908,59.9917,59.9883,59.9877,59.9882,59.9886,59.9882,59.9899,59.989,59.991,59.9897,59.9903,59.9901,59.9897,59.9904,59.989,59.9909,59.9888,59.9898,59.9907,59.9909,59.9912,59.9914,59.989,59.9907,59.9899,59.9886,59.9895,59.9902,59.9875,59.9902,59.9915,59.9876,59.9896,59.9903,59.9902,59.9909,59.9898,59.9908,59.9876,59.989,59.9912,59.9889,59.9901,59.9897,59.9894,59.9907,59.9889,59.9893,59.9896,59.99,59.991,59.9905,59.987,59.9889,59.9896,59.9892,59.991,59.992,59.9903,59.9894,59.9882,59.9878,59.9924,59.9889,59.9899,59.9904,59.9888,59.9903,59.9901,59.9899,59.9897,59.9903,59.991,59.9902,59.9905,59.9908,59.9886,59.9895,59.9919,59.9913,59.9901,59.99,59.9895,59.9869,59.99,59.9908,59.9902,59.9889,59.99,59.9899
59.9891,59.9903,59.9912,59.9894,59.9902,59.9897,59.9907,59.9904,59.9901,59.9895,59.9902,59.9884,59.9898,59.9885,59.9896,59.9898,59.9916,59.9896,59.9914,59.9896,59.9892,59.99,59.9897,59.9913,59.989,59.9904,59.9908,59.9907,59.9905,59.9894,59.9899,59.9902,59.9899,59.9896,59.9879,59.9899,59.9899,59.9897,59.9914,59.9875,59.9914,59.9909,59.9909,59.9907,59.9901,59.9913,59.9888,59.9896,59.9909,59.9882,59.9903,59.9898,59.9912,59.9906,59.9894,59.9889,59.9893,59.9905,59.9939,59.9906,59.9884,59.9867,59.9903,59.9905,59.9906,59.9903,59.9894,59.989,59.9899,59.9868,59.9906,59.989,59.9899,59.9921,59.9911,59.9906,59.9903,59.9915,59.9896,59.9903,59.9895,59.9898,59.9904,59.9913,59.9918,59.9889,59.9909,59.9879,59.9904,59.99,59.9884,59.9899,59.9897,59.9907,59.9907,59.9891,59.9898,59.9899
59.9895,59.9902,59.9911,59.9892,59.9896,59.9901,59.9899,59.9904,59.9908,59.9904,59.9892,59.9897,59.9891,59.9893,59.9894,59.9893,59.9909,59.9903,59.9912,59.9914,59.9902,59.9902,59.9889,59.9891,59.9892,59.9903,59.989,59.9911,59.9904,59.9911,59.989,59.9893,59.9902,59.9899,59.9873,59.9899,59.9893,59.9902,59.9917,59.9894,59.9911,59.9912,59.9913,59.9908,59.9902,59.9903,59.9875,59.9891,59.9901,59.9893,59.9899,59.9902,59.9891,59.9896,59.9894,59.9893,59.9899,59.9903,59.9883,59.9906,59.9896,59.9901,59.99,59.9903,59.9879,59.9905,59.9886,59.9895,59.9896,59.9921,59.9883,59.9892,59.9899,59.9922,59.9896,59.9898,59.9908,59.9908,59.9898,59.9906,59.9899,59.99,59.9898,59.9915,59.99,59.9888,59.992,59.9902,59.9909,59.9903,59.9888,59.989,59.9898,59.9906,59.9897,59.9872,59.9893,59.9899
59.9894,59.9908,59.9915,59.9897,59.9899,59.9899,59.9915,59.9896,59.9898,59.9903,59.9892,59.9894,59.9887,59.9878,59.9883,59.9894,59.9909,59.9908,59.9899,59.9905,59.9901,59.9895,59.9873,59.9907,59.9893,59.99,59.9905,59.9913,59.9903,59.9912,59.989,59.9894,59.9916,59.989,59.9892,59.9896,59.9916,59.9909,59.9921,59.9908,59.9902,59.9907,59.9907,59.9904,59.99,59.9896,59.989,59.989,59.9914,59.9895,59.9905,59.9893,59.991,59.9895,59.9898,59.9904,59.9895,59.99,59.9926,59.9914,59.9909,59.9893,59.9896,59.99,59.9895,59.9887,59.9909,59.9902,59.9905,59.9944,59.9893,59.9896,59.9902,59.9908,59.9911,59.9902,59.99,59.9916,59.9903,59.9906,59.9896,59.9905,59.9888,59.9917,59.99,59.9894,59.9914,59.9896,59.9905,59.9906,59.9894,59.9905,59.9903,59.9908,59.9903,59.9871,59.9895,59.99
59.9905,59.9903,59.9915,59.9898,59.9897,59.99,59.9901,59.9897,59.9887,59.9903,59.989,59.9903,59.9878,59.9876,59.9876,59.9892,59.9927,59.9891,59.9916,59.991,59.9902,59.9899,59.9894,59.9906,59.9886,59.9909,59.9909,59.99,59.9896,59.9885,59.9916,59.9896,59.9912,59.9893,59.9928,59.9896,59.9901,59.9906,59.9916,59.9895,59.9912,59.9903,59.9904,59.9903,59.9891,59.9894,59.9889,59.9897,59.9917,59.9901,59.991,59.9896,59.9907,59.9888,59.9895,59.9895,59.9905,59.9889,59.9908,59.9891,59.9894,59.9893,59.9901,59.9907,59.9915,59.9914,59.9912,59.9893,59.989,59.9895,59.9914,59.9893,59.9903,59.9891,59.9892,59.9896,59.9902,59.9918,59.9907,59.99,59.9903,59.9895,59.9889,59.9913,59.9897,59.9894,59.9921,59.99,59.9915,59.9895,59.9913,59.9928,59.9902,59.991,59.9901,59.9866,59.9885,59.99
59.9903,59.9894,59.9918,59.9901,59.9909,59.99,59.9912,59.9892,59.9893,59.9895,59.9903,59.9897,59.9869,59.9876,59.9879,59.9891,59.9921,59.9903,59.9889,59.9912,59.99,59.992,59.9903,59.991,59.9907,59.99,59.9907,59.9897,59.9904,59.9905,59.9907,59.9894,59.9912,59.9895,59.9907,59.9853,59.9899,59.989,59.9918,59.9892,59.9897,59.9909,59.991,59.9898,59.9898,59.9888,59.9901,59.9899,59.9912,59.9895,59.9907,59.9894,59.9906,59.9891,59.9896,59.9902,59.9904,59.9902,59.9911,59.9904,59.9909,59.9917,59.9901,59.99,59.9893,59.988,59.9897,59.99,59.9895,59.9868,59.9896,59.9894,59.9901,59.989,59.9891,59.9891,59.9898,59.9906,59.9907,59.9902,59.9914,59.9911,59.988,59.9911,59.9903,59.9902,59.9927,59.9899,59.9909,59.9895,59.9902,59.99,59.99,59.9914,59.99,59.9887,59.989,59.99
59.9898,59.9896,59.9917,59.9904,59.9899,59.9908,59.9911,59.9893,59.9895,59.9913,59.9891,59.9897,59.9879,59.9886,59.9878,59.9903,59.9913,59.991,59.9858,59.9902,59.9897,59.9902,59.9897,59.993,59.9896,59.99,59.9919,59.9908,59.9891,59.989,59.9914,59.9891,59.9912,59.9914,59.988,59.9884,59.9898,59.9894,59.9919,59.9893,59.9906,59.9909,59.9911,59.9893,59.9896,59.9886,59.9903,59.9901,59.9916,59.9901,59.9909,59.9884,59.9905,59.9885,59.9908,59.9903,59.9905,59.9916,59.992,59.9896,59.9901,59.9893,59.9884,59.9902,59.9901,59.9876,59.9893,59.9906,59.9902,59.9928,59.993,59.9899,59.99,59.9847,59.9885,59.9888,59.9907,59.9918,59.9902,59.9905,59.9904,59.9902,59.9874,59.9916,59.9886,59.9902,59.9915,59.9894,59.9901,59.99,59.9901,59.99,59.9897,59.9905,59.9901,59.989,59.9885,59.9901
59.9905,59.9891,59.9912,59.9904,59.99,59.9901,59.9902,59.9886,59.9898,59.99,59.9899,59.9904,59.9882,59.989,59.9882,59.9905,59.9907,59.9905,59.9909,59.9918,59.9915,59.9902,59.9916,59.989,59.9896,59.9907,59.9895,59.9878,59.9886,59.9887,59.9905,59.9885,59.9904,59.9904,59.9876,59.99,59.991,59.9884,59.9915,59.9897,59.9895,59.9904,59.9907,59.9888,59.9898,59.988,59.9895,59.9904,59.9928,59.9906,59.9904,59.9921,59.9903,59.9886,59.9907,59.9901,59.9915,59.9874,59.99,59.9894,59.9917,59.9911,59.9906,59.9894,59.9895,59.9903,59.9904,59.9906,59.9903,59.9942,59.9878,59.99,59.9896,59.9935,59.9886,59.9892,59.9892,59.9932,59.9904,59.99,59.9909,59.9894,59.9875,59.9909,59.9903,59.9902,59.9922,59.991,59.9912,59.9904,59.9884,59.9896,59.9899,59.9902,59.9896,59.989,59.9888,59.9901
59.9908,59.9902,59.9923,59.9903,59.9893,59.9904,59.9901,59.9888,59.9885,59.992,59.9892,59.9921,59.9897,59.9899,59.9904,59.9907,59.9921,59.9904,59.9895,59.9901,59.9901,59.9898,59.99,59.9932,59.99,59.9899,59.992,59.9925,59.9889,59.9918,59.9906,59.9883,59.9909,59.9899,59.9901,59.9878,59.9897,59.9889,59.9929,59.9898,59.9887,59.9908,59.9906,59.9885,59.9907,59.9879,59.9911,59.9898,59.9905,59.9901,59.9908,59.9907,59.9909,59.9885,59.9913,59.9904,59.9907,59.9901,59.994,59.99,59.9907,59.9904,59.9891,59.9902,59.9894,59.9913,59.9901,59.9902,59.9909,59.9878,59.9902,59.9902,59.9896,59.9883,59.9893,59.9885,59.9899,59.9917,59.9903,59.9907,59.9907,59.9896,59.9878,59.9907,59.9902,59.9902,59.9922,59.9886,59.9912,59.9897,59.991,59.9914,59.9896,59.9898,59.9917,59.9909,59.9898,59.9902
