source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0
-2.490885,-2.457985,3.0691,0.8768,1.3124,0.2756,-2.018685,-1.604885,1.679,-3.073685,-1.859085,2.2939,2.3765,-1.769785,-0.7992853,-2.510485,1.631,0.5903,-1.515085,2.9214,2.5093,0.5932,-0.05998531,1.6109,-1.857385,0.4856,-1.142985,-0.2456853,-2.475885,2.7735,-2.421185,1.8966,0.1825,-2.536485,-2.505985,1.7131,1.6992,2.8582,-0.3461853,-1.841685,-1.833385,-0.3539853,-0.4907853,2.0492,2.8947,1.5016,-1.988985,-0.8422853,-2.444485,2.6694,1.9878,-1.690685,-1.591585,-0.6667853,-0.2918853,2.6329,-0.2617853,1.7916,-2.557785,1.5859,0.2878,1.0287,-2.508185,1.1469,1.5734,-1.057785,0.2562,1.5917,-1.215385,0.4174,-2.803485,-2.344685,0.1861,-2.679385,-2.197985,-1.973885,1.1354,1.6168,-2.082985,-0.4270853,-2.412285,2.6255,1.2284,-2.637385,-1.285085,2.7127,2.9181,2.4742,2.1283,-2.545785,-2.688685,0.9404,0.5299,1.7335,0.9761
-2.501385,-2.468185,3.0579,0.866,1.3015,0.2648,-2.028585,-1.613685,1.669,-3.083785,-1.870185,2.2823,2.3637,-1.782085,-0.8107853,-2.520485,1.6202,0.5802,-1.526285,2.9102,2.4982,0.582,-0.07048531,1.6,-1.867885,0.475,-1.152485,-0.2554853,-2.487185,2.7643,-2.432485,1.8844,0.1715,-2.545585,-2.517585,1.7033,1.6878,2.8477,-0.3567853,-1.852985,-1.844885,-0.3635853,-0.5007853,2.0393,2.8844,1.4917,-2.000485,-0.8542853,-2.453985,2.658,1.9786,-1.700985,-1.601685,-0.6779853,-0.3028853,2.6221,-0.2730853,1.7794,-2.569785,1.5735,0.2784,1.018,-2.517485,1.1401,1.5638,-1.067585,0.2449,1.582,-1.226385,0.4061,-2.812885,-2.354585,0.1755,-2.688985,-2.209585,-1.984585,1.1242,1.6056,-2.092785,-0.4367853,-2.423585,2.6166,1.2169,-2.646885,-1.296185,2.7052,2.9072,2.4627,2.1176,-2.555985,-2.699385,0.9291,0.5179,1.7213,0.9663
-2.512885,-2.478285,3.047,0.8556,1.2916,0.2538,-2.037785,-1.623785,1.6586,-3.093785,-1.881385,2.2704,2.3523,-1.793885,-0.8216853,-2.532785,1.6096,0.5678,-1.536585,2.8989,2.4883,0.5711,-0.08108531,1.5891,-1.878185,0.4644,-1.161785,-0.2656853,-2.497585,2.7551,-2.443885,1.8758,0.1604,-2.555885,-2.528685,1.6938,1.6768,2.8373,-0.3679853,-1.864485,-1.856185,-0.3734853,-0.5106853,2.0301,2.8723,1.4823,-2.011785,-0.8658853,-2.464585,2.6465,1.9688,-1.714185,-1.611185,-0.6896853,-0.3134853,2.6111,-0.2826853,1.7676,-2.582285,1.5662,0.2677,1.0084,-2.527885,1.1227,1.5503,-1.081185,0.2364,1.5713,-1.237285,0.3972,-2.822385,-2.366185,0.1679,-2.699285,-2.219985,-1.996185,1.1133,1.5957,-2.102585,-0.4468853,-2.434885,2.6039,1.2042,-2.657685,-1.307285,2.6957,2.8959,2.4523,2.1035,-2.568085,-2.709785,0.9183,0.5068,1.7098,0.9568
-2.523185,-2.488385,3.0358,0.8445,1.2814,0.2429,-2.047385,-1.633385,1.6472,-3.103885,-1.892685,2.2582,2.3415,-1.805685,-0.8332853,-2.544885,1.5985,0.5564,-1.547585,2.8879,2.4777,0.56,-0.0921853,1.5784,-1.888185,0.453,-1.171885,-0.2759853,-2.508085,2.7458,-2.455385,1.8652,0.1496,-2.565785,-2.539485,1.6839,1.6659,2.8267,-0.3788853,-1.875485,-1.867285,-0.3832853,-0.5199853,2.0206,2.8614,1.4715,-2.023285,-0.8758853,-2.475685,2.6354,1.9589,-1.725485,-1.620685,-0.7004853,-0.3241853,2.6005,-0.2951853,1.7585,-2.590885,1.5585,0.2567,0.9983,-2.540385,1.1142,1.539,-1.092785,0.2267,1.5612,-1.248385,0.3842,-2.833685,-2.375185,0.157,-2.709785,-2.231585,-2.007085,1.1013,1.5853,-2.112785,-0.4555853,-2.446285,2.5942,1.1935,-2.667085,-1.318685,2.6847,2.8854,2.4414,2.093,-2.579185,-2.720285,0.9073,0.496,1.6977,0.9478
-2.533885,-2.498785,3.0245,0.8332,1.271,0.232,-2.056285,-1.642085,1.6364,-3.114185,-1.903185,2.247,2.3303,-1.816685,-0.8436853,-2.554085,1.5878,0.5456,-1.558185,2.8767,2.467,0.5494,-0.1026853,1.5679,-1.899085,0.4422,-1.181685,-0.2858853,-2.518285,2.7361,-2.466285,1.8536,0.1393,-2.574885,-2.550785,1.6736,1.6553,2.816,-0.3893853,-1.886185,-1.877985,-0.3927853,-0.5287853,2.0106,2.8501,1.461,-2.034285,-0.8880853,-2.485685,2.6245,1.9488,-1.737285,-1.630485,-0.7117853,-0.3345853,2.5909,-0.3030853,1.7446,-2.602185,1.5468,0.247,0.9879,-2.550285,1.1025,1.5309,-1.104785,0.218,1.5501,-1.259285,0.3745,-2.843085,-2.385385,0.1467,-2.719585,-2.242585,-2.017785,1.0912,1.5741,-2.122585,-0.4653853,-2.457485,2.5816,1.1803,-2.677985,-1.329885,2.6742,2.8734,2.431,2.0802,-2.589385,-2.731585,0.8962,0.4854,1.6872,0.9388
-2.544385,-2.509485,3.0134,0.824,1.2604,0.2212,-2.066485,-1.651985,1.6265,-3.124085,-1.914185,2.2361,2.3189,-1.827885,-0.8550853,-2.565185,1.5769,0.5333,-1.568785,2.8659,2.4565,0.5383,-0.1140853,1.5571,-1.909585,0.4311,-1.192085,-0.2963853,-2.528685,2.7261,-2.476785,1.8433,0.1288,-2.585385,-2.561985,1.664,1.6446,2.8051,-0.3998853,-1.897385,-1.889285,-0.4047853,-0.5385853,2.0012,2.8395,1.4491,-2.045285,-0.8990853,-2.496785,2.6136,1.9377,-1.747185,-1.640485,-0.7232853,-0.3450853,2.5797,-0.3178853,1.7356,-2.613085,1.5358,0.2377,0.9772,-2.560285,1.0919,1.5215,-1.115785,0.2059,1.5397,-1.269985,0.3643,-2.853985,-2.396485,0.1373,-2.730785,-2.253285,-2.028785,1.0793,1.5657,-2.132885,-0.4755853,-2.468485,2.5724,1.1699,-2.688585,-1.340585,2.6629,2.8621,2.4201,2.0695,-2.599785,-2.742285,0.8855,0.474,1.6761,0.928
-2.554985,-2.519985,3.0023,0.8125,1.2489,0.2103,-2.075885,-1.661585,1.615,-3.134385,-1.925085,2.2247,2.3084,-1.839085,-0.8663853,-2.576985,1.5653,0.5239,-1.579885,2.8552,2.4454,0.5276,-0.1248853,1.5465,-1.920185,0.42,-1.202185,-0.3067853,-2.539185,2.7159,-2.487485,1.8329,0.1182,-2.595685,-2.573185,1.6534,1.6339,2.7948,-0.4094853,-1.908085,-1.899885,-0.4143853,-0.5486853,1.9914,2.8283,1.437,-2.056185,-0.9107853,-2.507185,2.6029,1.9281,-1.757485,-1.650685,-0.7342853,-0.3555853,2.5685,-0.3270853,1.7248,-2.623785,1.5284,0.2263,0.9662,-2.571885,1.0834,1.5098,-1.126285,0.1956,1.5271,-1.281285,0.3531,-2.862885,-2.408985,0.1266,-2.740885,-2.264385,-2.039685,1.0695,1.553,-2.143685,-0.4855853,-2.480085,2.5593,1.1581,-2.699085,-1.351685,2.6527,2.8512,2.4079,2.0582,-2.610585,-2.752685,0.874,0.4634,1.6643,0.9182
-2.565385,-2.530585,2.9914,0.8026,1.2392,0.1997,-2.085985,-1.671785,1.6051,3.1386,-1.935685,2.2133,2.2969,-1.850485,-0.8768853,-2.588785,1.5546,0.5143,-1.590785,2.8445,2.4348,0.5153,-0.1356853,1.5358,-1.930785,0.409,-1.212985,-0.3173853,-2.548985,2.7053,-2.497985,1.8223,0.107,-2.606185,-2.584985,1.6426,1.6231,2.7839,-0.4197853,-1.918585,-1.910385,-0.4261853,-0.5587853,1.9815,2.8172,1.4282,-2.066885,-0.9207853,-2.516985,2.5924,1.9173,-1.767685,-1.660685,-0.7442853,-0.3657853,2.5576,-0.3378853,1.7132,-2.633285,1.5184,0.2168,0.9554,-2.581985,1.0701,1.498,-1.138785,0.1841,1.518,-1.292085,0.3429,-2.873085,-2.418485,0.1156,-2.751785,-2.275685,-2.050485,1.0578,1.5434,-2.154585,-0.4954853,-2.490385,2.5485,1.1476,-2.709685,-1.363085,2.6429,2.8394,2.3987,2.0475,-2.621685,-2.763385,0.8634,0.4524,1.653,0.9083
-2.574785,-2.541385,2.9802,0.7916,1.2286,0.189,-2.095785,-1.681485,1.5934,3.1289,-1.946185,2.198,2.286,-1.861385,-0.8880853,-2.599285,1.5433,0.5045,-1.601485,2.834,2.4237,0.5044,-0.1464853,1.5253,-1.941785,0.3982,-1.224185,-0.3280853,-2.558985,2.6948,-2.508585,1.8113,0.0958,-2.616785,-2.596085,1.6312,1.6122,2.7733,-0.4295853,-1.929085,-1.920885,-0.4371853,-0.5688853,1.9715,2.8063,1.4181,-2.077485,-0.9326853,-2.528185,2.5823,1.9061,-1.778885,-1.671785,-0.7555853,-0.3760853,2.5473,-0.3482853,1.7041,-2.646185,1.508,0.2054,0.9438,-2.591485,1.0591,1.4876,-1.147985,0.1741,1.5067,-1.303385,0.3323,-2.887185,-2.428985,0.1067,-2.763485,-2.286785,-2.062285,1.0473,1.5324,-2.165685,-0.5059853,-2.501285,2.5393,1.1368,-2.720685,-1.373385,2.6324,2.8286,2.3872,2.0364,-2.631685,-2.773485,0.8526,0.4407,1.6427,0.8977
-2.585885,-2.552485,2.9692,0.781,1.2184,0.1783,-2.106485,-1.691385,1.5842,3.1184,-1.957085,2.1907,2.274,-1.872685,-0.8993853,-2.609985,1.5324,0.4951,-1.612485,2.8236,2.4131,0.493,-0.1571853,1.5146,-1.952585,0.3874,-1.235085,-0.3389853,-2.568885,2.6843,-2.518885,1.8004,0.0846,-2.627185,-2.606585,1.6206,1.6014,2.7627,-0.4396853,-1.939685,-1.931485,-0.4476853,-0.5790853,1.9612,2.7955,1.4053,-2.088385,-0.9446853,-2.539985,2.5718,1.8953,-1.789885,-1.682585,-0.7661853,-0.3861853,2.5365,-0.3593853,1.6928,-2.658785,1.4963,0.1939,0.9325,-2.600685,1.0454,1.4775,-1.159185,0.1639,1.4957,-1.314485,0.3209,-2.897285,-2.441485,0.0957,-2.774685,-2.297285,-2.072285,1.0366,1.5227,-2.176885,-0.5170853,-2.511985,2.5306,1.1258,-2.731785,-1.384985,2.6217,2.8183,2.3771,2.0258,-2.643185,-2.784185,0.8418,0.4307,1.6313,0.8874
